IID,sire,hare
NA19654,HIS,HIS
NA19655,HIS,HIS
NA19657,HIS,HIS
NA19658,NA,HIS
NA19661,HIS,HIS
NA19663,HIS,HIS
NA19664,HIS,HIS
NA19669,HIS,HIS
NA19670,HIS,HIS
NA19676,HIS,HIS
NA19678,NA,HIS
NA19679,HIS,HIS
NA19681,HIS,HIS
NA19682,HIS,HIS
NA19684,HIS,HIS
NA19700,AFR,AFR
NA19701,NA,AFR
NA19703,AFR,AFR
NA19704,AFR,AFR
NA19707,AFR,AFR
NA19711,AFR,AFR
NA19712,AFR,AFR
NA19713,AFR,AFR
NA19716,HIS,HIS
NA19717,HIS,HIS
NA19719,HIS,HIS
NA19720,HIS,HIS
NA19722,NA,HIS
NA19723,HIS,HIS
NA19725,HIS,HIS
NA19726,HIS,HIS
NA19728,HIS,HIS
NA19729,HIS,HIS
NA19731,HIS,HIS
NA19732,HIS,HIS
NA19734,HIS,HIS
NA19735,HIS,HIS
NA19740,HIS,HIS
NA19741,HIS,HIS
NA19746,HIS,HIS
NA19747,HIS,HIS
NA19749,NA,NA
NA19750,HIS,HIS
NA19752,HIS,HIS
NA19755,HIS,HIS
NA19756,HIS,HIS
NA19758,HIS,HIS
NA19759,HIS,HIS
